on x=-48..-4,y=-28..24,z=-9..40
on x=17366..25760,y=57141..85459,z=-33407..-21735
on x=-16039..5356,y=68426..77902,z=15372..37908
on x=-30216..2247,y=-74038..-63045,z=-48110..-18480
on x=42323..58882,y=-70462..-56928,z=-33628..-2462
on x=35748..47950,y=12169..47085,z=45594..75805
on x=-15722..-12301,y=63804..74665,z=21079..45606
on x=-65965..-57850,y=-5568..31109,z=-57261..-28412
on x=-70788..-57624,y=-18972..1534,z=-60008..-50592
on x=16923..47667,y=-51890..-27127,z=-60477..-47738
on x=61981..76042,y=7150..42850,z=13986..36269
on x=-18151..-5817,y=76607..91632,z=-33440..-9774
on x=40192..58153,y=18589..29710,z=-72200..-54084
on x=19313..25307,y=59747..79538,z=-7292..14324
on x=52921..78122,y=21827..48384,z=2141..12638
on x=-28737..-7989,y=-42471..-17298,z=-70347..-50686
on x=-83949..-56652,y=15429..54528,z=-28144..4769
on x=18935..44246,y=21057..41516,z=62432..77912
on x=47783..65920,y=41246..60383,z=-26904..-8069
on x=9582..36099,y=47354..61505,z=45304..76228
on x=8476..22616,y=33690..55309,z=47958..74335
on x=52708..71598,y=-67423..-46494,z=-20293..3468
on x=-5609..28486,y=-66755..-54098,z=-72278..-42857
on x=-59782..-49985,y=-57939..-44148,z=-36450..-13611
on x=-18005..1243,y=29187..47102,z=-85861..-66436
on x=-17703..-1525,y=72413..77212,z=-43035..-11160
on x=-60826..-38359,y=49757..64599,z=-9673..8247
on x=-32322..-13933,y=41663..71384,z=-54631..-41320
on x=58045..68262,y=-46871..-31097,z=29638..37227
on x=-79763..-53900,y=-47745..-26826,z=-45163..-30280
on x=-12100..12005,y=-29425..-6737,z=-95118..-76383
on x=62680..63992,y=-10310..10090,z=29589..63476
on x=-42995..-17172,y=-24355..-2353,z=55463..76310
on x=2645..19729,y=-88057..-67211,z=-22664..-2536
on x=42806..55835,y=-74992..-56355,z=-13755..1516
on x=-65450..-53173,y=-31320..-5466,z=43024..53549
on x=-46475..-37841,y=22479..41497,z=44540..63017
on x=-31226..-9465,y=-85541..-50445,z=25011..45258
on x=49394..62876,y=44239..66169,z=18314..31845
on x=-91057..-64270,y=-28134..104,z=-14986..6688
on x=-72555..-50123,y=-52212..-25811,z=-5671..11313
on x=-5492..14228,y=67873..99306,z=-23258..10786
on x=-29655..4965,y=-14698..1356,z=-92732..-72354
on x=-20086..-10370,y=58820..80626,z=-6491..11784
on x=-91488..-72896,y=9569..38133,z=-10860..22299
on x=-43141..-38505,y=-18614..-6161,z=49673..87319
on x=1321..23145,y=28501..39485,z=-79270..-53249
on x=38539..52985,y=37613..51317,z=26451..47044
on x=60036..87103,y=22326..29706,z=-36569..-15184
on x=10703..22590,y=-12729..21287,z=67801..91934
on x=-87447..-63772,y=12270..33585,z=3425..14007
on x=54876..89837,y=11091..26373,z=-34702..-18940
on x=-34963..-19215,y=-76675..-56626,z=-23230..875
on x=41730..50545,y=10077..15315,z=-71197..-58565
on x=24977..42309,y=56008..75989,z=-22131..-7564
on x=7555..36348,y=39676..63582,z=-67858..-54096
on x=-71768..-56553,y=17791..41490,z=28605..46629
on x=-31431..-5934,y=-49070..-22791,z=-80891..-54102
on x=-66395..-37227,y=-45185..-38315,z=-38568..-24038
on x=-59653..-48302,y=18919..34125,z=-69516..-46505
on x=-43592..-12326,y=55615..79452,z=-35586..-2428
on x=-32977..-24349,y=66559..76719,z=7130..29846
on x=-18508..-5181,y=2751..15986,z=69242..91088
on x=33856..56442,y=57803..63238,z=-21007..4175
on x=11456..35289,y=-82329..-53095,z=-57093..-29752
on x=221..15637,y=-33542..-12058,z=65721..90823
on x=44187..69716,y=-28482..-6502,z=52485..59049
on x=-61696..-35966,y=32703..57437,z=29009..57855
on x=-4067..7930,y=-43666..-11508,z=-86339..-72663
on x=33312..44494,y=-43639..-25055,z=51893..85600
on x=6482..21980,y=-86800..-64043,z=-16698..7781
on x=-15893..794,y=8524..29748,z=74961..77893
on x=-75144..-48680,y=-30889..2955,z=-44107..-21082
on x=-59691..-32815,y=39019..53094,z=35573..54192
on x=47397..81433,y=-29031..-6289,z=-45094..-35018
on x=-80880..-55183,y=-28227..-13913,z=8700..37022
on x=43022..71966,y=-42477..-26770,z=28045..49006
on x=-48031..-28238,y=-74506..-57560,z=-33291..-9093
on x=55374..74290,y=-665..12443,z=-71987..-40585
on x=-24955..-13713,y=-61729..-42109,z=46458..77197
on x=7008..44216,y=-29327..6073,z=-82155..-64203
on x=48319..82837,y=-59674..-44744,z=10211..33680
on x=-66014..-30776,y=-56307..-25819,z=32466..64170
on x=12915..37246,y=-8498..-4292,z=59932..90234
on x=-81672..-63637,y=-8840..20957,z=4139..18747
on x=-44084..-16830,y=-82641..-65600,z=-19936..581
on x=-72306..-37420,y=-9738..5180,z=-64216..-51128
on x=21664..27992,y=-29004..-17567,z=-79824..-67662
on x=34979..40720,y=60425..81871,z=-41476..-20712
on x=39927..50220,y=38115..55080,z=40947..63674
on x=-12251..-1505,y=-86774..-65272,z=-13311..12062
on x=47273..63625,y=-11667..5983,z=-54773..-39483
on x=-51108..-22719,y=-5549..6490,z=58554..87573
on x=-27319..-8253,y=-33338..3203,z=-91155..-68940
on x=53254..61606,y=-45259..-15726,z=44495..64318
on x=14737..27370,y=-28526..9518,z=60838..82304
on x=-84430..-63639,y=-27444..-6811,z=-38470..-16159
on x=66356..87579,y=-37424..-26944,z=19655..45882
on x=-68426..-53565,y=-40161..-14439,z=45236..70741
on x=-88461..-64832,y=-36801..-12725,z=-15639..6968
on x=11549..34341,y=17711..45522,z=49276..84737
on x=58238..84653,y=23337..33216,z=-23511..-6407
on x=-49407..-25538,y=-65628..-42399,z=-47629..-36207
on x=-61429..-49029,y=-39961..-29869,z=-57008..-29398
on x=35814..61858,y=-16005..8775,z=-86502..-54668
on x=-39476..-20788,y=2794..31167,z=-75024..-54093
on x=-67845..-30585,y=15983..32441,z=-55463..-43905
on x=-88903..-57653,y=4439..36004,z=-6283..2434
on x=53328..79782,y=-46421..-38194,z=12325..25404
on x=-71517..-41626,y=8186..15762,z=47047..53298
on x=49931..73921,y=18573..29547,z=28458..43769
on x=-16953..-7039,y=64317..78246,z=18498..24808
on x=-24792..-21064,y=-67386..-46989,z=47925..71522
on x=-13172..2613,y=77039..79319,z=3247..14097
on x=27198..42112,y=-64861..-55777,z=-32264..-10936
on x=-13218..19813,y=43252..53426,z=61247..75262
on x=61187..88186,y=-37117..-1702,z=13830..43688
on x=-8059..24314,y=-17124..10594,z=73193..92216
on x=41917..57153,y=54477..65308,z=-21947..-6006
on x=-30337..-17998,y=65721..76735,z=-41030..-18787
on x=36762..65589,y=8641..38802,z=-75291..-42513
on x=-73101..-57173,y=20953..47644,z=24480..51584
on x=26641..39837,y=-76210..-65741,z=-22519..12876
on x=58601..85881,y=-21676..-17378,z=-43736..-22590
on x=-74493..-50784,y=-60934..-40154,z=-24149..10878
on x=-6441..16006,y=-89813..-73537,z=-40061..-21387
on x=-70851..-65449,y=619..8943,z=-56878..-23609
on x=-78226..-57716,y=-19914..5012,z=-47479..-24782
on x=43287..58133,y=30246..55278,z=-36182..-13681
on x=58322..69420,y=-34956..-18870,z=33228..41867
on x=-32308..-13418,y=48544..66707,z=-56386..-45571
on x=-78747..-56232,y=21847..38030,z=-66143..-43852
on x=-8237..-1117,y=11488..41566,z=-81508..-61882
on x=-82752..-55361,y=698..37398,z=3085..39871
on x=-59806..-49294,y=33410..43746,z=-42612..-30440
on x=34859..64524,y=28472..48364,z=-43647..-24371
on x=-47667..-20928,y=-73726..-48300,z=-45113..-25589
on x=38237..48184,y=-8031..824,z=-84992..-53792
on x=61769..83549,y=-10859..18669,z=26698..50984
on x=-33203..-19879,y=-92811..-74027,z=-4967..11828
on x=-76383..-68112,y=-37947..-16552,z=-23227..4586
on x=53659..70549,y=-464..11162,z=-77303..-38236
on x=-11400..623,y=50044..59522,z=37396..57725
on x=-67115..-46873,y=-61205..-33122,z=23950..44809
on x=-27897..-21125,y=30614..43954,z=60743..81812
on x=-78637..-62495,y=15139..38579,z=16629..45468
on x=-81529..-54938,y=6691..27713,z=35074..62296
on x=-28051..-2172,y=-36509..-18111,z=-78606..-59863
on x=-74205..-55615,y=27852..38855,z=11511..30433
on x=-91955..-76233,y=-36175..-4398,z=11596..31580
on x=-26588..-3098,y=58265..76358,z=46748..64986
on x=-10673..7638,y=66444..74696,z=27318..43615
on x=-19450..8303,y=66514..80132,z=-2755..28258
on x=-53269..-36597,y=46247..70183,z=-37239..-14348
on x=1579..16736,y=23289..40327,z=-81669..-52947
on x=72558..86751,y=23942..31752,z=4707..19498
on x=40409..59655,y=-7715..22535,z=-83276..-65194
on x=-23324..4052,y=-87659..-69594,z=19192..46954
on x=-19971..7896,y=20701..33416,z=57824..95016
on x=-43684..-17016,y=-18197..-5368,z=54230..81002
off x=-85244..-66362,y=-5051..20925,z=-13350..-6828
off x=48398..64578,y=-51708..-32586,z=27652..45147
on x=332..29714,y=-13556..-3704,z=66893..90596
off x=29506..46558,y=9092..19738,z=-73970..-66179
on x=-42010..-23943,y=-21383..1083,z=-90253..-62919
off x=34476..54663,y=986..20140,z=52648..84949
on x=-33307..-29302,y=-76636..-51073,z=42463..49215
off x=-42766..-11630,y=68264..71090,z=-31569..-24052
off x=-2694..21262,y=59000..86607,z=-23353..-8160
on x=-3901..20071,y=-14460..19684,z=-91154..-72259
on x=-19856..6560,y=73559..86857,z=-20363..3170
on x=-27518..-3889,y=57121..75128,z=-37812..-31859
on x=23288..52364,y=61498..82433,z=-31364..-26301
off x=55757..71312,y=1202..17577,z=39865..65458
off x=63822..86480,y=5926..27740,z=-38535..-18624
on x=40906..52514,y=62286..79278,z=-7899..12268
off x=44396..61436,y=-12423..373,z=-61951..-35266
on x=8647..25154,y=-96136..-67147,z=-22282..-1111
off x=40149..59857,y=9606..16775,z=53392..62091
off x=11326..23480,y=25885..51532,z=-76617..-63592
on x=49961..69215,y=4368..19388,z=-70041..-53362
off x=-52953..-43041,y=-59747..-49205,z=19221..26071
off x=46373..71028,y=-8599..26509,z=-71656..-36520
off x=-18511..14433,y=-69425..-54756,z=41215..64657
on x=19012..41843,y=-82427..-55668,z=7107..20259
off x=34611..55315,y=59718..74271,z=-13598..-8659
on x=-18199..6080,y=24153..39984,z=-83002..-69623
on x=-12657..26257,y=72634..75450,z=11826..44827
on x=38967..68495,y=39321..58422,z=-31215..-10503
off x=74776..95300,y=-5648..19300,z=16526..43716
off x=33040..47910,y=25295..40336,z=-71713..-59873
off x=-63215..-37450,y=52610..55959,z=-23069..-2560
on x=37388..45945,y=38618..57611,z=26202..45871
off x=-4765..19874,y=20584..42659,z=63465..80417
on x=59788..96450,y=-12099..-3879,z=7712..22989
on x=2651..24201,y=-50776..-24640,z=-78447..-50606
on x=57391..70911,y=-56507..-31047,z=-42313..-29387
on x=7830..19998,y=-81629..-72616,z=19771..24185
off x=-36983..-18016,y=-67156..-52845,z=-63211..-32199
off x=18293..41113,y=57867..61187,z=38805..60810
off x=-31746..-5415,y=-90329..-54326,z=10113..42509
off x=-34291..-6462,y=49035..74352,z=46924..55519
on x=-38075..-31467,y=50922..63920,z=-67614..-35506
on x=17359..29537,y=-50368..-28261,z=58140..79474
off x=-36222..-20621,y=-65611..-47022,z=-36665..-21730
on x=45670..57892,y=-48471..-34676,z=31680..56010
off x=34107..43047,y=23118..44774,z=-78294..-43676
on x=40996..69146,y=-52129..-44627,z=-22657..-1528
off x=-95579..-63176,y=4260..17830,z=-140..22281
on x=-22241..7004,y=-92324..-64453,z=-32214..-4067
off x=68113..89129,y=10341..42009,z=-20118..-5863
off x=15196..46457,y=62675..83556,z=-39426..-9130
off x=54215..71354,y=-5433..7625,z=47282..62683
on x=-14873..3903,y=-15532..-11061,z=61220..88237
off x=44352..62220,y=-34211..71,z=29015..59483
on x=25863..48860,y=28651..42851,z=-82182..-51366
on x=-43532..-12991,y=-16923..6241,z=59128..83868
off x=48287..65587,y=34150..67761,z=167..28655
on x=39036..59710,y=43476..58284,z=-52684..-24863
off x=-60863..-46106,y=12088..36426,z=44372..59483
off x=-11343..6043,y=43418..62594,z=-59382..-52737
off x=54944..69209,y=34012..45663,z=-54681..-37646
on x=34555..46435,y=41765..58302,z=-51167..-36169
off x=37941..59603,y=-73396..-36189,z=15520..34409
off x=4549..28123,y=9776..26599,z=-88591..-58426
off x=-64920..-45099,y=-26273..9636,z=-65687..-57954
off x=8348..38730,y=-78932..-46213,z=-46411..-28095
on x=8944..35214,y=-65315..-60326,z=36074..39375
on x=46634..59450,y=49557..66945,z=-21226..9155
on x=-78200..-41162,y=-37698..-8842,z=49253..52959
off x=-75144..-47352,y=-74004..-48268,z=5014..22686
off x=-72241..-44854,y=42979..55587,z=7084..12986
off x=50257..88323,y=-42546..-32602,z=-2932..13981
on x=-75670..-50013,y=1461..31719,z=-38763..-30677
on x=58617..82889,y=-30419..-15736,z=-31507..-20108
on x=-80193..-64082,y=34075..48360,z=-23041..-10326
off x=-18737..4298,y=-71249..-47468,z=-60341..-49783
off x=22977..44288,y=-73491..-66907,z=1664..29684
on x=34655..53681,y=-61669..-40785,z=-42608..-27854
on x=72816..75052,y=-17132..15677,z=-31980..-19109
on x=10258..38183,y=-91577..-73874,z=-37355..-1248
off x=-28558..-9861,y=-78772..-66459,z=34421..50597
off x=-22064..14414,y=-93686..-77572,z=-22190..10267
on x=-78650..-42909,y=-51189..-32433,z=-43696..-26805
off x=-68837..-55571,y=25296..60857,z=-764..23496
off x=-90053..-63067,y=-12097..19095,z=-42939..-32119
on x=61647..80911,y=-52411..-23286,z=13479..35315
on x=34384..53166,y=-78621..-61301,z=-20801..11274
on x=-67287..-54978,y=-20579..-12477,z=-69736..-43946
on x=-26580..-9845,y=61439..90196,z=8156..34572
off x=-51570..-39218,y=-54594..-45285,z=-57252..-33989
on x=-21891..6487,y=25126..39767,z=69553..73435
off x=67952..83319,y=-7920..4555,z=-11719..9075
on x=10536..32977,y=-16680..9168,z=-91501..-65205
off x=-18240..-2574,y=74785..84668,z=-2400..3755
off x=-52858..-25098,y=-34495..-23790,z=59831..72030
on x=-19072..-5856,y=-77901..-66861,z=-36404..-450
off x=21088..37400,y=2878..27489,z=-74730..-65155
on x=41497..54581,y=16769..41592,z=-67808..-48669
off x=46041..66234,y=36738..48717,z=28273..45398
off x=-54982..-34096,y=-41100..-38141,z=-60593..-26783
on x=-72586..-64216,y=-41949..-25594,z=2638..27753
on x=20526..38727,y=-49401..-26683,z=56325..84132
on x=24085..44816,y=-65760..-46356,z=-33562..-19468
off x=63038..77668,y=15299..40023,z=14097..35493
off x=-98162..-67496,y=-11982..18101,z=1251..24408
on x=-74148..-53740,y=-4967..26898,z=41628..64645
off x=25987..31071,y=9738..20609,z=-88314..-55880
on x=-62520..-45163,y=9591..32282,z=-63253..-43888
off x=-21620..-12745,y=49856..87031,z=-38035..-25120
on x=54669..74096,y=21488..58744,z=-27155..-7375
off x=-5088..28577,y=67478..86760,z=18008..49483
on x=20082..39484,y=-65224..-44500,z=34513..45894
off x=-70482..-54361,y=-18675..-10442,z=-58306..-39203
on x=-20092..-8399,y=-22752..5822,z=-78010..-57612
off x=-58232..-38626,y=-41166..-15148,z=-67820..-51070
on x=-82915..-45929,y=44520..54256,z=-20377..-3045
off x=-12603..-8716,y=-74499..-56240,z=-32248..-24104
off x=-77464..-73124,y=-27482..-10563,z=-415..8802
off x=-20784..2724,y=-44594..-27662,z=61160..90054
on x=60910..69631,y=-10681..26844,z=28129..54566
off x=-81120..-56621,y=-51140..-32118,z=-14086..19042
on x=263..15297,y=-38756..-19966,z=-81491..-63101
off x=-1070..26410,y=71372..79866,z=-3522..15971
on x=43639..60031,y=-19230..-13979,z=48739..74889
on x=-49147..-43486,y=-72099..-58685,z=-15201..12234
off x=6708..28776,y=-92918..-66776,z=-24489..-11107
on x=6670..32306,y=29579..43755,z=59475..84655
off x=57244..65295,y=30828..55586,z=-22637..13344
on x=-16926..10320,y=55814..67437,z=36786..56864
on x=-38783..-27408,y=71293..76257,z=-8525..3467
off x=-83233..-66939,y=-38309..-16510,z=-23773..-4210
off x=-51476..-46136,y=-50805..-31065,z=55404..70972
on x=-93190..-60756,y=-3339..22155,z=1313..36940
off x=-37156..-29321,y=39216..77634,z=32728..57701
on x=-22755..-11135,y=6582..35202,z=-91324..-59849
on x=-33015..-12564,y=41491..51811,z=53571..66844
on x=-94253..-60603,y=22531..30601,z=-10247..-5655
off x=52585..63022,y=-2651..14082,z=54994..58555
on x=29957..58264,y=-12087..-8428,z=59869..67399
on x=-77354..-72055,y=-34391..-22988,z=7431..25372
off x=57260..94905,y=-10861..23882,z=-40189..-17508
on x=18877..36604,y=55995..75086,z=-39610..-5209
off x=43719..79816,y=27039..55343,z=2887..23698
on x=28740..43375,y=435..6958,z=56567..76857
off x=34772..46966,y=-33954..-18402,z=-76179..-43371
on x=-1800..14178,y=48831..67171,z=41732..71617
on x=56277..87321,y=-34016..-8759,z=-39960..-24597
off x=27609..50260,y=-4500..15678,z=67096..74287
off x=-51113..-33224,y=-34232..-26972,z=-72360..-55903
on x=-8777..20067,y=45134..60977,z=-64008..-52657
off x=-59207..-27448,y=60058..79148,z=-37191..-12169
off x=4897..22974,y=3198..12003,z=62746..88171
off x=5790..25448,y=-82434..-66902,z=-15138..2028
on x=-40944..-17644,y=33074..65498,z=50715..73985
off x=-13890..10360,y=63957..80061,z=14361..37169
on x=-11237..-1196,y=66560..88828,z=-11567..20163
on x=-90296..-60752,y=-13882..208,z=37013..40211
on x=-11949..4141,y=51307..69509,z=39393..64256
on x=-85997..-48898,y=25496..52549,z=7153..31161
on x=28211..31580,y=48045..56390,z=46996..62536
off x=-71396..-45586,y=49720..73988,z=-16103..-3852
off x=63090..89065,y=-4533..7551,z=-46372..-21651
off x=25222..31063,y=28292..46203,z=-69644..-55382
on x=-63725..-39653,y=-35860..-7993,z=32379..60092
off x=51706..77935,y=44748..63045,z=-4658..23887
off x=26435..38372,y=41017..67345,z=30285..56713
on x=183..31305,y=41972..58646,z=-76094..-51404
on x=53022..75024,y=-53631..-44448,z=-18220..-12804
on x=2091..35583,y=-65177..-31517,z=56820..70426
on x=25865..51532,y=27226..39441,z=62626..75064
off x=29545..36971,y=52779..77902,z=165..37584
on x=4873..28561,y=-13775..1940,z=-94008..-72930
off x=-85564..-77406,y=-15746..-1191,z=-13532..3247
off x=-58397..-49776,y=42016..71108,z=-37079..-16702
on x=58179..70378,y=-16831..6286,z=-61891..-46746
off x=-66662..-38330,y=-58591..-44896,z=18097..33753
off x=-69269..-53822,y=19989..41568,z=42406..51358
off x=35615..55388,y=-77031..-42083,z=-49889..-25503
on x=50247..81747,y=44504..49766,z=-14088..5354
on x=-80227..-47634,y=-7271..17405,z=-62703..-46466
off x=43072..62915,y=-56780..-23627,z=-64665..-44577
off x=-62212..-44639,y=45225..64353,z=-22977..-1067
on x=72355..94305,y=8720..26862,z=-3601..26465
on x=-82230..-54348,y=-42956..-25955,z=7882..22636
off x=-40914..-20820,y=32084..44858,z=61821..82256
off x=-58197..-52419,y=-47830..-17668,z=-61723..-35533
off x=-63509..-34189,y=-30826..-13459,z=-72199..-47643
on x=-79239..-64204,y=36055..55920,z=-23669..-4128
on x=-6376..23036,y=-94117..-66075,z=-16974..-657
off x=-2899..2324,y=12453..29296,z=-79035..-66704
on x=-75173..-53417,y=-24106..-3645,z=35694..44337
on x=49376..70341,y=13374..45006,z=20214..38109
off x=23192..39231,y=-64577..-52676,z=28480..47455
on x=53967..63577,y=-18177..1842,z=49184..69718
off x=-2200..13582,y=54486..83518,z=-54601..-28076
off x=22511..43743,y=-4104..105,z=55623..74241
on x=4489..23951,y=-61214..-35404,z=-66101..-43205
off x=-85425..-58997,y=-34742..-21699,z=14668..33133
on x=-65652..-42057,y=39745..60741,z=-41322..-9035
